grade,program,subject,lessons_per_week,optional,group_count,shared_group_key,share_mode
11,Uzņēmējdarbības pamati,Sports un veselība (praktiskā),2,False,1,SPORT_11_ALL,forced_parallel_groups
11,Uzņēmējdarbības pamati,Sports un veselība (teorija),1,False,1,SPORTT_11,fixed_pair_partition
11,Uzņēmējdarbības pamati,Svešvaloda (angļu) I B2,4,False,1,ENG_11,fixed_pair_partition
11,Uzņēmējdarbības pamati,Svešvaloda (vācu) I B1,3,False,4,GERMAN_11_ALL,forced_parallel_groups
11,Uzņēmējdarbības pamati,Uzņemējdarbības pamati,2,True,1,UZN_11,fixed_pair_partition
11,Uzņēmējdarbības pamati,Vācu valoda akadēmiskiem nolūkiem,2,True,1,GERMANAK_11,fixed_pair_partition
11,Uzņēmējdarbības pamati,Ģeogrāfija I,3,False,1,GEO_11,fixed_pair_partition
11,Uzņēmējdarbības pamati,Ķīmija I,2,False,1,CHEM_11,fixed_pair_partition
12,Dabaszinātnes,Bioloģija II,6,False,1,,none
12,Dabaszinātnes,Fizika II,7,False,1,PHYS_12,fixed_pair_partition
12,Dabaszinātnes,Latviešu valoda un literatūra I,4,False,1,LAT_12,fixed_pair_partition
12,Dabaszinātnes,Mazākumtautību valoda un literatūra,2,True,1,RUS_12,fixed_pair_partition
12,Dabaszinātnes,Sports un veselība (praktiskā),2,False,1,SPORT_12_ALL,forced_parallel_groups
12,Dabaszinātnes,Sports un veselība (teorija),1,False,1,SPORTT_12,fixed_pair_partition
12,Dabaszinātnes,Svešvaloda (angļu) I B2,3,False,1,ENG_12,fixed_pair_partition
12,Dabaszinātnes,"Svešvaloda (otrā, vācu) I B1",3,False,4,GERMAN_12_ALL,forced_parallel_groups
12,Dabaszinātnes,Vācu valoda akadēmiskiem nolūkiem,2,True,1,GERMANAK_12,fixed_pair_partition
12,Dabaszinātnes,Ķīmija II,6,False,1,,none
12,Humanitārās zinātnes un kultūra,Angļu un amerikāņu literatūra,2,True,1,,none
12,Humanitārās zinātnes un kultūra,Kultūra un māksla II (teātra māksla),6,False,1,,none
12,Humanitārās zinātnes un kultūra,Latviešu valoda un literatūra I,4,False,1,LAT_12,fixed_pair_partition
12,Humanitārās zinātnes un kultūra,Mazākumtautību valoda un literatūra,2,True,1,RUS_12,fixed_pair_partition
12,Humanitārās zinātnes un kultūra,Sports un veselība (praktiskā),2,False,1,SPORT_12_ALL,forced_parallel_groups
12,Humanitārās zinātnes un kultūra,Sports un veselība (teorija),1,False,1,SPORTT_12,fixed_pair_partition
12,Humanitārās zinātnes un kultūra,Svešvaloda (angļu) I B2,3,False,1,ENG_12,fixed_pair_partition
12,Humanitārās zinātnes un kultūra,Svešvaloda (angļu) II C1,6,False,1,ENG2_12,fixed_pair_partition
12,Humanitārās zinātnes un kultūra,"Svešvaloda (otrā, vācu) I B1",3,False,4,GERMAN_12_ALL,forced_parallel_groups
12,Humanitārās zinātnes un kultūra,"Svešvaloda (otrā, vācu) II B2",4,True,1,GERMAN2_12,fixed_pair_partition
